Location Number,Location Name,Location ID,Lat,Long,Address,URL
151,Southcentral Foundation Pediatrics,3.67E+14,61.18148371,-149.8008458,,https://www.instagram.com/explore/locations/367243940007486
152,SCF OB/GYN,1.14E+14,61.18157308,-149.7996811,,https://www.instagram.com/explore/locations/114158078673296
153,ANMC Dental Clinic,1.04E+14,61.1825827,-149.7991259,4321 Diplomacy Drive,https://www.instagram.com/explore/locations/103559067942180
154,Anmc Oncology,1.89E+14,61.18222218,-149.8067343,,https://www.instagram.com/explore/locations/189373271160631
155,ANMC Radiology/imaging,1.10E+14,61.18309246,-149.7999684,4315 Diplomacy Drive,https://www.instagram.com/explore/locations/109551634134257
156,Southcentral Foundation,7.70E+14,61.184167,-149.794239,"4145 Tudor Centre Dr, Anchorage, Alaska",https://www.instagram.com/explore/locations/770352596668346
157,Orthopedics At Alaska Native Medical Center,1.42E+14,61.18274559,-149.7994635,,https://www.instagram.com/explore/locations/142147742557347
158,ANMC Patient Housing,5.89E+14,61.18403974,-149.8005891,4001 Tudor Centre Drive,https://www.instagram.com/explore/locations/588640921342247
159,A New Day ABA,1.07E+14,61.18483041,-149.7944641,Municipality of Anchorage,https://www.instagram.com/explore/locations/107393954943860
160,South Central Foundation Health Education Department,4.60E+14,61.18141,-149.79982,"4320 Diplomacy Dr , Anchorage, AK",https://www.instagram.com/explore/locations/460097534176233
161,Dr Kathryn and Kevin Gottlieb Building,5.33E+14,61.1824562,-149.7970569,4441 Diplomacy Drive ,https://www.instagram.com/explore/locations/533012040535331
162,Alaska Native Tribal Health Consortium,1.24E+14,61.18245774,-149.8066358,"4000 Ambassador Dr, Anchorage, AK",https://www.instagram.com/explore/locations/124319784261152
163,Kaladi Brothers Coffee,1.03E+14,61.18142479,-149.7515013,6901 East Tudor Rd.,https://www.instagram.com/explore/locations/103194291476287
164,Cook Inlet Native Headstart,4.14E+14,61.182049,-149.750627,,https://www.instagram.com/explore/locations/414376195317669
165,Subway,1.85E+14,61.18142479,-149.7515013,"6901 E Tudor Rd, Anchorage, AK",https://www.instagram.com/explore/locations/184936654872247
166,"Scenic Park Estates, Anchorage, Alaska",4.77E+14,61.18479955,-149.7375388,,https://www.instagram.com/explore/locations/476992372345690
167,"Patterson Parkway, Anchorage, Alaska",4.79E+14,61.18109323,-149.747355,,https://www.instagram.com/explore/locations/478864178811751
168,Kaladis,1.36E+14,61.18142479,-149.7515013,6901 east tudor,https://www.instagram.com/explore/locations/136363163108998
169,Park & Play Indoor Playground,1.32E+14,61.18145671,-149.751463,,https://www.instagram.com/explore/locations/131586263576223
170,"Century Village, Anchorage, Alaska",2.34E+14,61.18437,-149.753108,,https://www.instagram.com/explore/locations/234032910057953
171,Cook Inlet Native Head Start,4.25E+14,61.18181,-149.75038,"6901 E Tudor Rd., Anchorage, Alaska",https://www.instagram.com/explore/locations/425162544330475
172,Southcentral Elders Program,1.62E+14,61.18193878,-149.7515316,6901 E Tudor Rd,https://www.instagram.com/explore/locations/161600007221107
173,Baxter Bog Trail,1.50E+14,61.1930347,-149.7554636,"Baxter Rd, Anchorage, AK",https://www.instagram.com/explore/locations/150147725054882
174,Beluga Point,2.69E+14,61.22382213,-149.7342674,"Anchorage, Alaska",https://www.instagram.com/explore/locations/268710073242394
175,A Lot of Places,5.06E+14,61.22109033,-149.734069,,https://www.instagram.com/explore/locations/505723256142296
176,"Rainbow, Anchorage, Alaska",3.25E+14,61.1997345,-149.900434,,https://www.instagram.com/explore/locations/325232424242268
177,ReThink Home,4.15E+14,61.1989178,-149.90012,"927 W Fireweed Ln, Anchorage, Alaska",https://www.instagram.com/explore/locations/414606048746419
178,Holy Rosary Academy Alaska,1.78E+14,61.19837,-149.9015,"1010 W. Fireweed Lane, Anchorage, Alaska",https://www.instagram.com/explore/locations/177934485939265
179,Westchester Lagoon Nature Trail,1.61E+14,61.20348031,-149.9048209,"Spenard Road & 19th Ave, Anchorage, Alaska",https://www.instagram.com/explore/locations/161303067280022
180,Valley of the Moon Park,1.41E+14,61.20514,-149.89453,"W 17th Ave, Anchorage, AK",https://www.instagram.com/explore/locations/141065352595865
181,Chilcoot Charlies,1.36E+14,61.1981062,-149.9048533,2435 Spenard Rd,https://www.instagram.com/explore/locations/136024556606370
182,West Anchorage High School,1.03E+14,61.20105817,-149.916882,1700 Hillcrest Dr,https://www.instagram.com/explore/locations/103104673062433
183,Enlighten Alaska,1.88E+14,61.19716,-149.905788,"2600 Spenard Rd, Anchorage, Alaska",https://www.instagram.com/explore/locations/187820538512830
184,House of Transformation Beauty Center,1.04E+14,61.19868518,-149.90567,"2400 Spenard Rd Suite 100, Anchorage, Alaska",https://www.instagram.com/explore/locations/103894112004404
185,Big Brothers Big Sisters of Alaska,3.28E+11,61.19922,-149.903408,"1057 W Fireweed Ln, Ste 202, Anchorage, Alaska",https://www.instagram.com/explore/locations/327717083033
186,Strands Salon,1.77E+14,61.19911401,-149.8998551,"885 W Fireweed Ln, Anchorage, Alaska",https://www.instagram.com/explore/locations/177223772367487
187,"Guadalupe Church,",1.84E+14,61.19280016,-149.9012131,,https://www.instagram.com/explore/locations/183930821617344
188,Frosted Axe Throwing,6.92E+14,61.1985789,-149.8889711,"409 W Fireweed Lane, Anchorage, Alaska",https://www.instagram.com/explore/locations/691702041246690
189,Tufo House Restaurant,4.75E+14,61.19873267,-149.8912413,,https://www.instagram.com/explore/locations/474502972601123
190,American Legion Jack Henry Post 1,1.50E+15,61.19830903,-149.8995911,"840 W Fireweed Ln, Anchorage, Alaska",https://www.instagram.com/explore/locations/1497262760489955
191,Star Alaska,3.82E+14,61.19918,-149.90327,"1057 W Fireweed Ln, Ste 230, Anchorage",https://www.instagram.com/explore/locations/382421358503601
192,"South Addition, Anchorage",1.89E+15,61.19070146,-149.8981189,,https://www.instagram.com/explore/locations/1892994620926016
193,Westchester Lagoon Frisbee Golf Course,2.03E+14,61.20497503,-149.9054939,"Anchorage, AK",https://www.instagram.com/explore/locations/202645266420356
194,Steller Secondary School,1.12E+14,61.197687,-149.893336,,https://www.instagram.com/explore/locations/111664232184037
195,jackies place restaurant,4.26E+11,61.19652974,-149.9067335,"2636 Spenard Rd (across from bears tooth ), Anchorage, Alaska",https://www.instagram.com/explore/locations/426469710524
196,Westchester Lagoon,1.51E+14,61.20558925,-149.9198413,1824 W 15th Ave,https://www.instagram.com/explore/locations/151008831581516
197,Important Work,1.45E+15,61.19992,-149.9026,"1041 W 23rd Ave, Anchorage, AK",https://www.instagram.com/explore/locations/1453387631630484
198,North Star Elementary,9.70E+14,61.19968576,-149.8939763,"605 W Fireweed Ln, Anchorage, AK ",https://www.instagram.com/explore/locations/970189372996874
199,Arctic Bed & Breakfast,1.21E+14,61.196641,-149.897614,"2607 Arctic Blvd, Anchorage, AK",https://www.instagram.com/explore/locations/120633764614384
